Symbol,Name,Price_intraday,Change,Change_pct,YTD_Return,Three_Months_Return,One_Year_Return,Three_Year_Return,Five_Year_Return,Net_Assets,50_Day_Avg,200_Day_Avg,Morningstar Rating
HLLVX,JPMorgan Short Duration Bond I,10.83,+0.01,+0.09%,+0.09%,+0.58%,+5.40%,-0.07%,+4.26%,9.92B,10.82,10.79,4 stars
OGLVX,JPMorgan Short Duration Bond A,10.81,+0.01,+0.09%,+0.09%,+0.52%,+5.24%,-0.31%,+4.00%,9.92B,10.80,10.77,3 stars
OSTCX,JPMorgan Short Duration Bond C,10.89,+0.03,+0.28%,+0.09%,+0.48%,+4.68%,-0.82%,+3.44%,9.92B,10.88,10.85,2 stars
ORNCX,Invesco Rochester Municipal Opps C,6.74,+0.02,+0.30%,-1.13%,-2.06%,+7.69%,+5.91%,+13.11%,9.9B,6.84,6.85,4 stars
ORNAX,Invesco Rochester Municipal Opps A,6.77,+0.02,+0.30%,-1.12%,-1.90%,+8.53%,+6.72%,+13.93%,9.9B,6.87,6.88,5 stars
IORYX,Invesco Rochester Municipal Opps R6,6.77,+0.02,+0.30%,+3.87%,+0.40%,+8.64%,+6.99%,+14.07%,9.9B,6.87,6.88,5 stars
IORHX,Invesco Rochester Municipal Opps R5,6.76,+0.02,+0.30%,+3.87%,+0.40%,+8.64%,+6.99%,+14.07%,9.9B,6.87,6.88,5 stars
ORNYX,Invesco Rochester Municipal Opps Y,6.76,+0.02,+0.30%,-1.11%,-1.85%,+8.64%,+6.99%,+14.07%,9.9B,6.86,6.87,5 stars
BIAWX,Brown Advisory Sustainable Growth Inv,55.13,+0.18,+0.33%,+1.87%,+3.44%,+38.88%,+29.88%,+34.88%,9.773B,56.31,53.87,3 stars
BAFWX,Brown Advisory Sustainable Growth I,56.34,+0.19,+0.34%,+1.89%,+3.48%,+39.07%,+30.07%,+35.05%,9.773B,57.50,54.97,3 stars
BAWAX,Brown Advisory Sustainable Growth Adv,53.24,+0.17,+0.32%,+1.86%,+3.37%,+38.52%,+29.55%,+34.50%,9.773B,54.45,52.16,3 stars
TTMIX,T. Rowe Price Comm & Tech I,155.30,-0.47,-0.30%,+0.55%,+7.12%,+39.39%,+9.79%,+34.10%,9.761B,163.17,148.72,4 stars
PRMTX,T. Rowe Price Comm & Tech Investor,154.56,-0.47,-0.30%,+0.54%,+7.09%,+39.28%,+9.68%,+33.95%,9.761B,162.33,148.09,5 stars
RTMTX,Russell Investment Tax-Managed U.S. Large Cap Fund,85.44,-0.22,-0.26%,+1.47%,+1.81%,+24.85%,+24.95%,+29.07%,9.672B,86.23,81.62,3 stars
RTLCX,Russell Investment Tax-Managed U.S. Large Cap Fund,78.07,-0.21,-0.27%,+1.43%,+1.54%,+23.49%,+23.60%,+27.67%,9.672B,78.64,74.56,2 stars
RTLAX,Russell Investment Tax-Managed U.S. Large Cap Fund,84.45,-0.22,-0.26%,+1.45%,+1.73%,+24.42%,+24.51%,+28.62%,9.672B,85.14,80.60,2 stars
CBLAX,Columbia Balanced A,51.71,+0.73,+1.43%,+0.62%,+0.37%,+21.20%,+14.63%,+22.73%,9.659B,53.38,52.80,4 stars
CBABX,Columbia Balanced Fund S,51.57,+0.73,+1.44%,+14.54%,+4.27%,+20.90%,+14.34%,+22.42%,9.659B,53.28,53.54,4 stars
CLREX,Columbia Balanced Inst2,51.61,+0.73,+1.43%,+0.64%,+0.44%,+21.54%,+14.96%,+23.10%,9.659B,53.28,52.71,5 stars
CBLCX,Columbia Balanced C,51.43,+0.73,+1.44%,+0.61%,+0.20%,+20.29%,+13.78%,+21.83%,9.659B,53.09,52.51,4 stars
CBALX,Columbia Balanced Inst,51.57,+0.73,+1.44%,+0.64%,+0.45%,+21.49%,+14.91%,+23.02%,9.659B,53.24,52.67,5 stars
CBDYX,Columbia Balanced Inst3,52.29,+0.01,+0.02%,+0.64%,+0.45%,+21.59%,+15.01%,+23.15%,9.659B,54.00,53.36,5 stars
CBLRX,Columbia Balanced R,51.72,+0.73,+1.43%,+0.62%,+0.30%,+20.90%,+14.34%,+22.42%,9.659B,53.39,52.81,4 stars
TLZHX,Nuveen Lifecycle Index 2040 I,29.50,+0.04,+0.14%,+0.75%,-0.41%,+18.85%,+14.77%,+24.46%,9.65B,30.04,29.17,4 stars
TLPRX,Nuveen Lifecycle Index 2040 Premier,29.36,+0.04,+0.14%,+0.72%,-0.42%,+18.79%,+14.71%,+24.35%,9.65B,29.89,29.04,4 stars
TLZRX,Nuveen Lifecycle Index 2040 Retire,29.25,+0.04,+0.14%,+0.72%,-0.45%,+18.65%,+14.61%,+24.20%,9.65B,29.77,28.92,4 stars
TLZIX,Nuveen Lifecycle Index 2040 R6,29.54,+0.04,+0.14%,+0.75%,-0.37%,+18.98%,+14.89%,+24.52%,9.65B,30.09,29.23,4 stars
SWISX,Schwab International Index,22.90,+0.15,+0.66%,+0.62%,-4.80%,+18.17%,+11.30%,+21.87%,9.646B,23.51,24.06,3 stars
PSDNX,Putnam Ultra Short Duration Income N,10.11,+0.01,+0.10%,+0.06%,+0.96%,+5.79%,-0.17%,+2.60%,9.638B,10.11,10.10,3 stars
PSDQX,Putnam Ultra Short Duration Income R6,10.13,0.00,0.00%,+0.17%,+1.13%,+6.11%,+0.09%,+2.85%,9.638B,10.13,10.12,4 stars
PSDLX,Putnam Ultra Short Duration Income C,10.11,+0.01,+0.10%,+0.15%,+1.00%,+5.55%,-0.29%,+2.34%,9.638B,10.11,10.10,2 stars
PSDRX,Putnam Ultra Short Duration Income R,10.10,0.00,0.00%,+0.15%,+1.00%,+5.45%,-0.29%,+2.34%,9.638B,10.10,10.09,2 stars
PSDTX,Putnam Ultra Short Duration Income A,10.12,+0.01,+0.10%,+0.17%,+1.10%,+5.97%,-0.02%,+2.75%,9.638B,10.12,10.11,4 stars
PSDYX,Putnam Ultra Short Duration Income Y,10.13,+0.01,+0.10%,+0.17%,+1.12%,+6.08%,+0.08%,+2.85%,9.638B,10.13,10.12,4 stars
FZAIX,Fidelity International Discovery Fund,48.18,+0.38,+0.79%,+0.40%,-3.84%,+14.27%,+11.26%,+27.66%,9.614B,49.34,49.83,3 stars
FCADX,Fidelity Advisor International Discv C,47.14,+0.37,+0.79%,+0.36%,-4.11%,+12.92%,+9.92%,+26.10%,9.614B,47.97,48.47,3 stars
FIDKX,Fidelity International Discovery K,48.28,+0.38,+0.79%,+0.42%,-3.84%,+14.29%,+11.26%,+27.64%,9.614B,49.38,49.91,3 stars
FTADX,Fidelity Advisor International Discv M,47.69,+0.37,+0.78%,+0.38%,-4.00%,+13.51%,+10.53%,+26.75%,9.614B,48.64,49.15,3 stars
FAIDX,Fidelity Advisor International Discv A,48.12,+0.38,+0.80%,+0.38%,-3.94%,+13.79%,+10.82%,+27.09%,9.614B,49.14,49.65,3 stars
FIGRX,Fidelity International Discovery,48.49,+0.39,+0.81%,+0.40%,-3.88%,+14.16%,+11.18%,+27.51%,9.614B,49.56,50.08,3 stars
FIADX,Fidelity Advisor International Discv I,48.23,+0.38,+0.79%,+0.40%,-3.88%,+14.15%,+11.13%,+27.47%,9.614B,49.34,49.87,3 stars
MMHEX,NYLI MacKay High Yield Muni Bond Cl R6,11.75,+0.06,+0.51%,+4.69%,+0.23%,+9.28%,+6.02%,+8.86%,9.566B,11.96,11.95,4 stars
MMHIX,NYLI MacKay High Yield Muni Bond Class I,11.75,+0.05,+0.43%,-0.83%,-1.85%,+9.55%,+6.36%,+9.13%,9.566B,11.96,11.95,5 stars
MMHVX,NYLI MacKay High Yield Muni Bond Inv Cl,11.73,+0.05,+0.43%,-0.84%,-2.00%,+9.36%,+6.09%,+8.86%,9.566B,11.94,11.94,4 stars
MMHDX,NYLI MacKay High Yield Muni Bond Class C,11.72,+0.05,+0.43%,-0.88%,-2.11%,+8.47%,+5.23%,+7.97%,9.566B,11.93,11.92,3 stars
MMHAX,NYLI MacKay High Yield Muni Bond Class A,11.75,+0.06,+0.51%,-0.84%,-1.91%,+9.28%,+6.02%,+8.86%,9.566B,11.95,11.95,4 stars
FLCOX,Fidelity Large Cap Value Index,18.64,+0.12,+0.65%,+2.09%,-0.93%,+11.50%,+25.11%,+26.51%,9.534B,18.91,18.06,3 stars
FFCMX,Fidelity Advisor Asset Manager 50% C,20.27,+0.02,+0.10%,+0.55%,-0.99%,+11.86%,+8.73%,+17.02%,9.519B,20.72,20.40,2 stars
FFAMX,Fidelity Advisor Asset Manager 50% A,20.49,+0.03,+0.15%,+0.59%,-0.82%,+12.76%,+9.54%,+17.91%,9.519B,20.96,20.62,2 stars
FASMX,Fidelity Asset Manager 50% Fund,20.59,+0.03,+0.15%,+0.59%,-0.79%,+13.09%,+9.85%,+18.26%,9.519B,21.07,20.73,3 stars
FFIMX,Fidelity Advisor Asset Manager 50% I,20.54,+0.03,+0.15%,+0.59%,-0.80%,+13.09%,+9.84%,+18.24%,9.519B,21.02,20.68,2 stars
FFTMX,Fidelity Advisor Asset Manager 50% M,20.47,+0.03,+0.15%,+0.54%,-0.89%,+12.50%,+9.23%,+17.56%,9.519B,20.93,20.60,2 stars
FFTMX,Fidelity Advisor Asset Manager 50% M,20.47,+0.03,+0.15%,+0.54%,-0.89%,+12.50%,+9.23%,+17.56%,9.519B,20.93,20.60,2 stars
TSIAX,Thornburg Strategic Income A,11.36,+0.02,+0.18%,-0.05%,-0.80%,+7.28%,+2.43%,+7.55%,9.519B,11.42,11.44,3 stars
TSRSX,Thornburg Strategic Income R6,11.37,+0.02,+0.18%,+0.05%,-0.69%,+7.77%,+2.85%,+7.96%,9.519B,11.43,11.45,4 stars
TSICX,Thornburg Strategic Income C,11.34,+0.02,+0.18%,+0.00%,-0.99%,+6.46%,+1.63%,+6.68%,9.519B,11.40,11.42,3 stars
TSRIX,Thornburg Strategic Income R4,11.34,+0.02,+0.18%,-0.07%,-0.88%,+7.03%,+2.20%,+7.14%,9.519B,11.41,11.43,3 stars
TSIIX,Thornburg Strategic Income I,11.33,+0.02,+0.18%,-0.04%,-0.72%,+7.61%,+2.78%,+7.91%,9.519B,11.39,11.41,4 stars
TSIRX,Thornburg Strategic Income R3,11.35,+0.02,+0.18%,+0.02%,-0.79%,+7.03%,+2.11%,+7.23%,9.519B,11.41,11.43,3 stars
TSRRX,Thornburg Strategic Income R5,11.34,+0.02,+0.18%,+0.05%,-0.63%,+7.71%,+2.78%,+7.91%,9.519B,11.40,11.42,4 stars
VTMSX,Vanguard Tax-Managed Small Cap Adm,95.86,+0.26,+0.27%,+1.64%,+0.99%,+15.95%,+27.08%,+23.28%,9.494B,98.15,92.04,4 stars
VTSIX,Vanguard Tax-Managed Small Cap I,96.08,+0.26,+0.27%,+1.64%,+1.00%,+15.99%,+27.11%,+23.30%,9.494B,98.38,92.25,4 stars
VPACX,Vanguard Pacific Stock Index Investor,13.55,-0.02,-0.15%,+0.30%,-4.88%,+15.41%,+1.36%,+17.42%,9.451B,13.98,14.23,3 stars
VPKIX,Vanguard Pacific Stock Index Instl,13.45,-0.02,-0.15%,+0.30%,-4.82%,+15.59%,+1.50%,+17.62%,9.451B,13.88,14.13,4 stars
VPADX,Vanguard Pacific Stock Index Admiral,87.91,-0.14,-0.16%,+0.34%,-4.83%,+15.57%,+1.49%,+17.58%,9.451B,90.71,92.35,3 stars
MTBIX,NYLI MacKay Tax Free Bond Class I,9.22,+0.03,+0.33%,-0.81%,-1.49%,+6.63%,+2.30%,+7.84%,9.422B,9.36,9.39,4 stars
MKINX,NYLI MacKay Tax Free Bond Investor Class,9.26,+0.03,+0.33%,-0.81%,-1.55%,+6.30%,+2.01%,+7.66%,9.422B,9.40,9.43,3 stars
MKTBX,NYLI MacKay Tax Free Bond Class B,9.22,+0.03,+0.33%,-0.83%,-1.51%,+5.96%,+1.67%,+7.42%,9.422B,9.36,9.38,3 stars
MTBAX,NYLI MacKay Tax Free Bond Class A,9.22,+0.03,+0.33%,-0.82%,-1.44%,+6.25%,+2.04%,+7.58%,9.422B,9.36,9.38,3 stars
MTBDX,NYLI MacKay Tax Free Bond Class R6,9.23,+0.03,+0.33%,+1.47%,-0.08%,+6.63%,+2.30%,+7.84%,9.422B,9.37,9.39,4 stars
MTFCX,NYLI MacKay Tax Free Bond Class C,9.22,+0.03,+0.33%,-0.83%,-1.62%,+6.06%,+1.76%,+7.41%,9.422B,9.36,9.39,3 stars
MTSPX,NYLI MacKay Tax Free Bond Class C2,9.22,+0.03,+0.33%,+1.47%,-0.08%,+6.63%,+2.30%,+7.84%,9.422B,9.36,9.38,4 stars
LIPAX,BlackRock LifePath Index 2050 Inv A,23.40,+0.02,+0.09%,+0.82%,-0.36%,+21.00%,+18.38%,+26.40%,9.413B,23.92,23.00,4 stars
LIPPX,BlackRock LifePath Index 2050 Inv P,23.36,+0.02,+0.09%,+0.82%,-0.40%,+20.95%,+18.35%,+26.40%,9.413B,23.90,22.97,4 stars
LIPKX,BlackRock LifePath Index 2050 K,23.45,+0.02,+0.09%,+0.82%,-0.28%,+21.36%,+18.75%,+26.77%,9.413B,24.03,23.10,5 stars
LIPIX,BlackRock LifePath Index 2050 Instl,23.45,+0.02,+0.09%,+0.82%,-0.33%,+21.23%,+18.69%,+26.71%,9.413B,24.02,23.10,5 stars
SFLNX,Schwab Fundamental US Large Company Idx,28.46,+0.04,+0.14%,+2.01%,+0.56%,+18.15%,+31.58%,+28.88%,9.411B,28.82,27.44,5 stars
DFGBX,DFA Five-Year Global Fixed-Income I,10.04,0.00,0.00%,+0.20%,+1.20%,+5.00%,-1.03%,+4.04%,9.326B,10.09,10.15,3 stars
VRTPX,Vanguard Real Estate II Index,21.56,+0.43,+2.04%,-1.35%,-8.02%,+11.83%,+40.41%,+28.97%,9.288B,22.28,21.54,3 stars
VENAX,Vanguard Energy Index Admiral,65.89,+0.44,+0.67%,+8.16%,+5.48%,+0.03%,+56.13%,+9.34%,9.251B,63.76,63.66,4 stars
DGEIX,DFA Global Equity I,34.48,+0.03,+0.09%,+1.23%,-0.30%,+20.29%,+23.20%,+26.67%,9.2B,35.23,34.04,4 stars
VLXVX,Vanguard Target Retirement 2065 Fund,33.90,+0.03,+0.09%,+0.74%,-0.37%,+20.15%,+16.46%,+24.96%,9.2B,34.67,33.41,3 stars
IIBZX,Voya Intermediate Bond R6,8.60,+0.02,+0.23%,-0.28%,-1.94%,+7.07%,-0.99%,+10.06%,9.2B,8.68,8.73,4 stars
IIBAX,Voya Intermediate Bond A,8.59,+0.02,+0.23%,-0.30%,-2.05%,+6.63%,-1.35%,+9.56%,9.2B,8.67,8.71,3 stars
IIBWX,Voya Intermediate Bond W,8.59,+0.02,+0.23%,-0.17%,-1.88%,+6.90%,-1.20%,+9.84%,9.2B,8.66,8.71,4 stars
IICIX,Voya Intermediate Bond I,8.60,+0.02,+0.23%,-0.17%,-1.85%,+7.01%,-1.03%,+10.02%,9.2B,8.67,8.72,4 stars
IICCX,Voya Intermediate Bond C,8.58,+0.02,+0.23%,-0.21%,-2.13%,+5.85%,-2.09%,+8.76%,9.2B,8.65,8.70,1 star
IIBOX,Voya Intermediate Bond R,8.61,+0.03,+0.35%,-0.31%,-2.11%,+6.37%,-1.69%,+9.28%,9.2B,8.68,8.73,2 stars
FSTZX,Fidelity Srs 0-5 Yr Inf-Ptctd Bd Idx,9.71,+0.01,+0.10%,+2.26%,+1.71%,--,--,--,9.199B,9.72,9.69,0 star
BBGSX,Bridge Builder Small/Mid Cap Growth,16.59,+0.13,+0.79%,+2.05%,+3.40%,+20.97%,+16.37%,+29.03%,9.182B,16.71,15.61,3 stars
TLYPX,Nuveen Lifecycle Index 2035 Premier,26.82,+0.04,+0.15%,+0.64%,-0.59%,+17.03%,+12.97%,+22.85%,9.15B,27.38,26.76,4 stars
TLYHX,Nuveen Lifecycle Index 2035 I,26.93,+0.04,+0.15%,+0.64%,-0.59%,+17.07%,+13.09%,+22.92%,9.15B,27.51,26.87,4 stars
TLYIX,Nuveen Lifecycle Index 2035 R6,26.98,+0.04,+0.15%,+0.64%,-0.56%,+17.25%,+13.21%,+23.02%,9.15B,27.56,26.93,4 stars
TLYRX,Nuveen Lifecycle Index 2035 Retire,26.70,+0.04,+0.15%,+0.60%,-0.67%,+16.90%,+12.88%,+22.70%,9.15B,27.25,26.63,4 stars
OGLIX,Invesco Global R6,97.78,+0.22,+0.23%,+1.10%,+1.11%,+34.48%,+15.78%,+32.09%,9.105B,103.14,103.82,3 stars
OGLCX,Invesco Global C,75.66,+0.17,+0.23%,+1.06%,+0.83%,+33.02%,+14.48%,+30.57%,9.105B,81.08,82.77,2 stars
OPPAX,Invesco Global A,94.88,+0.21,+0.22%,+1.10%,+1.04%,+34.03%,+15.36%,+31.56%,9.105B,100.13,101.13,3 stars
OGLYX,Invesco Global Y,96.79,+0.22,+0.23%,+1.10%,+1.09%,+34.34%,+15.63%,+31.87%,9.105B,102.03,102.88,3 stars
OGLNX,Invesco Global R,92.04,+0.21,+0.23%,+1.08%,+0.95%,+33.66%,+15.05%,+31.22%,9.105B,97.33,98.48,3 stars
GFDDX,Invesco Global R5,97.51,+0.23,+0.24%,+15.64%,+3.75%,+34.48%,+15.78%,+32.09%,9.105B,102.87,103.56,3 stars
JABLX,Janus Henderson VIT Balanced Instl,51.47,-0.01,-0.02%,+0.51%,+0.42%,+15.41%,+17.20%,+22.59%,9.102B,52.06,50.24,5 stars
STYJX,Allspring Core Plus Bond R6,11.09,+0.03,+0.27%,-0.27%,-1.93%,+6.94%,+0.23%,+9.50%,9.074B,11.19,11.25,4 stars
WIPIX,Allspring Core Plus Bond Instl,11.09,+0.03,+0.27%,-0.18%,-1.95%,+6.80%,+0.18%,+9.45%,9.074B,11.18,11.24,4 stars
STYAX,Allspring Core Plus Bond A,11.07,+0.03,+0.27%,-0.27%,-2.03%,+6.46%,-0.16%,+9.11%,9.074B,11.17,11.23,4 stars
WIPDX,Allspring Core Plus Bond Admin,11.05,+0.02,+0.18%,-0.18%,-1.93%,+6.61%,-0.05%,+9.24%,9.074B,11.15,11.21,4 stars
WFIPX,Allspring Core Plus Bond C,11.06,+0.03,+0.27%,-0.27%,-2.22%,+5.77%,-0.87%,+8.28%,9.074B,11.16,11.22,3 stars
APDFX,Artisan High Income Fund,9.14,+0.01,+0.11%,+0.62%,+1.32%,+15.87%,+6.29%,+14.10%,9.062B,9.14,9.04,5 stars
APHFX,Artisan High Income Fund,9.14,+0.01,+0.11%,+0.62%,+1.34%,+15.97%,+6.39%,+14.20%,9.062B,9.14,9.04,5 stars
ARTFX,Artisan High Income Investor,9.15,+0.01,+0.11%,+0.61%,+1.28%,+15.69%,+6.10%,+14.00%,9.062B,9.15,9.05,5 stars
VSEQX,Vanguard Strategic Equity Inv,37.48,+0.21,+0.56%,+3.13%,+2.26%,+19.21%,+30.86%,+26.75%,9.053B,40.15,38.24,5 stars
LIHKX,BlackRock LifePath Index 2045 K,22.39,+0.03,+0.13%,+0.68%,-0.64%,+20.29%,+17.81%,+26.25%,9.004B,22.92,22.10,4 stars
LIHPX,BlackRock LifePath Index 2045 Inv P,22.26,+0.03,+0.13%,+0.68%,-0.69%,+20.00%,+17.44%,+25.91%,9.004B,22.75,21.94,3 stars
LIHIX,BlackRock LifePath Index 2045 Instl,22.37,+0.03,+0.13%,+0.68%,-0.65%,+20.24%,+17.76%,+26.14%,9.004B,22.89,22.07,4 stars
LIHAX,BlackRock LifePath Index 2045 Inv A,22.33,+0.03,+0.13%,+0.68%,-0.71%,+19.93%,+17.44%,+25.91%,9.004B,22.81,21.99,3 stars
PYODX,Pioneer Y,41.16,-0.15,-0.36%,+2.40%,+0.45%,+29.11%,+28.24%,+31.31%,8.97B,43.18,43.76,5 stars
PIOKX,Pioneer Fund,41.17,-0.15,-0.36%,+26.67%,+7.32%,-19.47%,+23.90%,-1.74%,8.97B,43.27,43.77,5 stars
PIORX,Pioneer Fund,40.26,-0.15,-0.37%,+2.38%,+0.29%,+28.19%,+27.28%,+30.45%,8.97B,42.23,42.88,4 stars
PIODX,Pioneer Fund,40.14,-0.15,-0.37%,+2.39%,+0.39%,+28.71%,+27.81%,+31.00%,8.97B,42.14,42.77,4 stars
PCODX,Pioneer C,30.00,-0.11,-0.37%,+2.35%,+0.20%,+27.71%,+26.79%,+29.92%,8.97B,31.92,33.05,3 stars
FIPDX,Fidelity Inflation-Prot Bd Index,8.94,+0.02,+0.22%,+0.34%,-1.78%,+3.78%,+5.93%,+8.31%,8.965B,9.04,9.11,4 stars
FDVLX,Fidelity Value,13.90,+0.06,+0.43%,+1.76%,+0.27%,+19.53%,+35.38%,+31.62%,8.96B,15.35,15.37,4 stars
FVLKX,Fidelity Value Fund,13.94,+0.06,+0.43%,+1.76%,+0.29%,+19.61%,+35.47%,+31.86%,8.96B,15.38,15.40,4 stars
BBBMX,BBH Limited Duration N,10.44,+0.01,+0.10%,+0.17%,+1.26%,+7.45%,+1.18%,+4.30%,8.956B,10.43,10.38,5 stars
BBBIX,BBH Limited Duration I,10.43,+0.01,+0.10%,+0.18%,+1.18%,+7.63%,+1.16%,+4.37%,8.956B,10.43,10.38,5 stars
PLFMX,Principal Large Cap S&P 500 Index R3,28.67,-0.06,-0.21%,+1.16%,+2.45%,+25.30%,+27.75%,+30.56%,8.949B,29.20,27.46,3 stars
PLFPX,Principal Large Cap S&P 500 Index R5,29.16,-0.06,-0.21%,+1.18%,+2.52%,+25.75%,+28.14%,+30.98%,8.949B,29.73,27.96,4 stars
SSFRX,State Street Equity 500 Index R,442.78,-0.93,-0.21%,+1.20%,+2.49%,+25.51%,+27.74%,+30.58%,8.886B,447.15,418.91,3 stars
STBIX,State Street Equity 500 Index Svc,442.67,-0.92,-0.21%,+1.21%,+2.58%,+25.95%,+28.19%,+30.99%,8.886B,448.26,419.86,4 stars
SSSWX,State Street Equity 500 Index I,443.34,-0.92,-0.21%,+1.22%,+2.65%,+26.02%,+28.25%,+31.17%,8.886B,449.16,420.50,4 stars
STFAX,State Street Equity 500 Index Adm,443.12,-0.93,-0.21%,+1.21%,+2.61%,+26.08%,+28.32%,+31.14%,8.886B,449.00,420.52,4 stars
SSSVX,State Street Equity 500 Index A,443.13,-0.93,-0.21%,+1.20%,+2.53%,+25.70%,+27.94%,+30.78%,8.886B,447.97,419.61,4 stars
SSSYX,State Street Equity 500 Index K,443.33,-0.92,-0.21%,+1.22%,+2.65%,+26.26%,+28.51%,+31.39%,8.886B,449.42,420.80,4 stars
JVAIX,JPMorgan Value Advantage L,38.55,+0.17,+0.44%,+2.10%,+0.50%,+9.90%,+28.83%,+27.20%,8.874B,41.02,39.77,3 stars
JGAQX,JPMorgan Value Advantage R2,37.41,+0.16,+0.43%,+2.11%,+0.36%,+9.20%,+28.01%,+26.39%,8.874B,39.84,38.63,3 stars
JVARX,JPMorgan Value Advantage R5,38.44,+0.16,+0.42%,+2.13%,+0.51%,+9.91%,+28.82%,+27.23%,8.874B,40.97,39.67,3 stars
JVAYX,JPMorgan Value Advantage R6,38.47,+0.17,+0.44%,+2.11%,+0.53%,+10.00%,+28.97%,+27.36%,8.874B,41.03,39.71,3 stars
JVAQX,JPMorgan Value Advantage R4,38.86,+0.17,+0.44%,+2.11%,+0.46%,+9.76%,+28.62%,+27.05%,8.874B,41.38,40.06,3 stars
JVASX,JPMorgan Value Advantage I,38.52,+0.17,+0.44%,+2.10%,+0.46%,+9.78%,+28.64%,+27.03%,8.874B,40.95,39.71,3 stars
JVAAX,JPMorgan Value Advantage A,38.16,+0.17,+0.45%,+2.10%,+0.40%,+9.48%,+28.33%,+26.72%,8.874B,40.54,39.32,3 stars
JVAPX,JPMorgan Value Advantage R3,37.44,+0.16,+0.43%,+2.08%,+0.41%,+9.47%,+28.29%,+26.70%,8.874B,39.89,38.66,3 stars
JVACX,JPMorgan Value Advantage C,38.21,+0.16,+0.42%,+2.09%,+0.28%,+8.94%,+27.66%,+26.09%,8.874B,40.47,39.26,2 stars
LMPIX,ClearBridge Appreciation FI,35.43,+0.04,+0.11%,+0.88%,+2.00%,+19.29%,+23.52%,+29.73%,8.852B,37.19,36.08,3 stars
LMPPX,ClearBridge Appreciation R,35.07,+0.04,+0.11%,+0.86%,+1.95%,+19.08%,+23.17%,+29.37%,8.852B,36.78,35.69,3 stars
LMESX,ClearBridge Appreciation IS,34.84,+0.04,+0.11%,+0.90%,+2.12%,+19.88%,+24.04%,+30.32%,8.852B,36.67,35.59,3 stars
SAPCX,ClearBridge Appreciation C,33.18,+0.03,+0.09%,+0.85%,+1.83%,+18.58%,+22.70%,+28.96%,8.852B,34.89,33.92,2 stars
SHAPX,ClearBridge Appreciation A,35.02,+0.04,+0.11%,+0.87%,+2.02%,+19.45%,+23.58%,+29.82%,8.852B,36.80,35.71,3 stars
SAPYX,ClearBridge Appreciation I,34.67,+0.04,+0.12%,+0.87%,+2.08%,+19.77%,+23.95%,+30.21%,8.852B,36.49,35.42,3 stars
FEQIX,Fidelity Equity-Income,75.55,+0.32,+0.43%,+2.12%,-1.56%,+10.60%,+24.37%,+27.90%,8.785B,77.73,75.59,3 stars
FEIKX,Fidelity Equity-Income K,75.47,+0.32,+0.43%,+2.12%,-1.55%,+10.70%,+24.50%,+28.02%,8.785B,77.65,75.53,4 stars
FPNRX,FPA New Income - Investor,9.81,+0.01,+0.10%,+4.19%,-0.30%,--,--,--,8.713B,9.84,9.89,0 star
FPNIX,FPA New Income - Institutional,9.79,+0.01,+0.10%,+0.10%,-0.29%,+7.51%,+0.82%,+3.81%,8.713B,9.82,9.83,4 stars
TEDRX,Franklin Mutual Global Discovery R,27.81,+0.24,+0.87%,+1.29%,-2.52%,+20.01%,+19.10%,+24.09%,8.708B,29.74,30.45,2 stars
MDISX,Franklin Mutual Global Discovery Z,29.33,+0.24,+0.83%,+1.32%,-2.38%,+20.58%,+19.67%,+24.70%,8.708B,31.36,32.05,3 stars
FMDRX,Franklin Mutual Global Discovery Fund,29.31,+0.24,+0.83%,+1.32%,-2.36%,+20.69%,+19.84%,+24.80%,8.708B,31.41,32.06,3 stars
TEDSX,Franklin Mutual Global Discovery C,28.67,+0.24,+0.84%,+1.28%,-2.63%,+19.39%,+18.50%,+23.43%,8.708B,30.48,31.18,2 stars
TEDIX,Franklin Mutual Global Discovery A,28.37,+0.23,+0.82%,+1.33%,-2.43%,+20.27%,+19.40%,+24.37%,8.708B,30.35,31.06,2 stars
FZEMX,Fidelity Advisor Emerging Markets Fund,38.49,+0.14,+0.37%,+10.26%,+0.28%,-27.48%,+32.54%,-18.02%,8.696B,39.30,39.16,5 stars
FKEMX,Fidelity Emerging Markets K,38.24,+0.14,+0.37%,+0.05%,-5.10%,+15.35%,+1.53%,+33.84%,8.696B,39.18,39.18,4 stars
FEMKX,Fidelity Emerging Markets Fund,38.24,+0.14,+0.37%,+0.05%,-5.13%,+15.16%,+1.38%,+33.65%,8.696B,39.16,39.15,4 stars
FEQMX,Fidelity Advisor Emerging Markets M,38.06,+0.14,+0.37%,+10.26%,+0.28%,-27.48%,+32.54%,-18.02%,8.696B,38.98,38.96,5 stars
FECMX,Fidelity Advisor Emerging Markets I,38.14,+0.14,+0.37%,+10.26%,+0.28%,-27.48%,+32.54%,-18.02%,8.696B,39.09,39.04,5 stars
FEMMX,Fidelity Advisor Emerging Markets C,37.87,+0.14,+0.37%,+10.26%,+0.28%,-27.48%,+32.54%,-18.02%,8.696B,38.73,38.72,5 stars
FEDMX,Fidelity Advisor Emerging Markets A,38.02,+0.13,+0.34%,+10.26%,+0.28%,-27.48%,+32.54%,-18.02%,8.696B,38.98,38.96,5 stars
PEIJX,Principal Equity Income J,40.07,+0.27,+0.68%,+1.92%,-0.85%,+10.85%,+22.01%,+28.45%,8.692B,42.45,41.50,2 stars
